mes,Bola1,count_MM_bola1,Bola2,count_MM_bola2,Bola3,count_MM_bola3,Bola4,count_MM_bola4,Bola5,count_MM_bola5,Bola6,count_MM_bola6
01,1,31,0,0,0,0,0,0,0,0,0,0
01,2,23,0,0,0,0,0,0,0,0,0,0
01,3,20,0,0,0,0,0,0,0,0,0,0
01,4,21,0,0,0,0,0,0,0,0,0,0
01,5,18,0,0,0,0,0,0,0,0,0,0
01,6,18,0,0,0,0,0,0,0,0,0,0
01,7,9,0,0,0,0,0,0,0,0,0,0
01,8,11,0,0,0,0,0,0,0,0,0,0
01,9,10,0,0,0,0,0,0,0,0,0,0
01,10,15,0,0,0,0,0,0,0,0,0,0
01,11,11,0,0,0,0,0,0,0,0,0,0
01,12,6,0,0,0,0,0,0,0,0,0,0
01,13,10,0,0,0,0,0,0,0,0,0,0
01,14,4,0,0,0,0,0,0,0,0,0,0
01,15,6,0,0,0,0,0,0,0,0,0,0
01,16,6,0,0,0,0,0,0,0,0,0,0
01,17,4,0,0,0,0,0,0,0,0,0,0
01,18,4,0,0,0,0,0,0,0,0,0,0
01,19,4,0,0,0,0,0,0,0,0,0,0
01,20,2,0,0,0,0,0,0,0,0,0,0
01,21,3,0,0,0,0,0,0,0,0,0,0
01,22,2,0,0,0,0,0,0,0,0,0,0
01,23,2,0,0,0,0,0,0,0,0,0,0
01,24,1,0,0,0,0,0,0,0,0,0,0
01,25,1,0,0,0,0,0,0,0,0,0,0
01,26,1,0,0,0,0,0,0,0,0,0,0
01,27,1,0,0,0,0,0,0,0,0,0,0
01,28,2,0,0,0,0,0,0,0,0,0,0
01,29,3,0,0,0,0,0,0,0,0,0,0
01,31,1,0,0,0,0,0,0,0,0,0,0
02,1,27,0,0,0,0,0,0,0,0,0,0
02,2,22,0,0,0,0,0,0,0,0,0,0
02,3,15,0,0,0,0,0,0,0,0,0,0
02,4,17,0,0,0,0,0,0,0,0,0,0
02,5,6,0,0,0,0,0,0,0,0,0,0
02,6,16,0,0,0,0,0,0,0,0,0,0
02,7,21,0,0,0,0,0,0,0,0,0,0
02,8,9,0,0,0,0,0,0,0,0,0,0
02,9,13,0,0,0,0,0,0,0,0,0,0
02,10,11,0,0,0,0,0,0,0,0,0,0
02,11,13,0,0,0,0,0,0,0,0,0,0
02,12,8,0,0,0,0,0,0,0,0,0,0
02,13,9,0,0,0,0,0,0,0,0,0,0
02,14,9,0,0,0,0,0,0,0,0,0,0
02,15,5,0,0,0,0,0,0,0,0,0,0
02,16,5,0,0,0,0,0,0,0,0,0,0
02,17,7,0,0,0,0,0,0,0,0,0,0
02,18,1,0,0,0,0,0,0,0,0,0,0
02,19,3,0,0,0,0,0,0,0,0,0,0
02,20,3,0,0,0,0,0,0,0,0,0,0
02,21,1,0,0,0,0,0,0,0,0,0,0
02,22,1,0,0,0,0,0,0,0,0,0,0
02,23,3,0,0,0,0,0,0,0,0,0,0
02,24,1,0,0,0,0,0,0,0,0,0,0
02,25,1,0,0,0,0,0,0,0,0,0,0
02,26,3,0,0,0,0,0,0,0,0,0,0
02,27,1,0,0,0,0,0,0,0,0,0,0
02,28,2,0,0,0,0,0,0,0,0,0,0
02,29,1,0,0,0,0,0,0,0,0,0,0
03,1,27,0,0,0,0,0,0,0,0,0,0
03,2,27,0,0,0,0,0,0,0,0,0,0
03,3,26,0,0,0,0,0,0,0,0,0,0
03,4,28,0,0,0,0,0,0,0,0,0,0
03,5,16,0,0,0,0,0,0,0,0,0,0
03,6,20,0,0,0,0,0,0,0,0,0,0
03,7,10,0,0,0,0,0,0,0,0,0,0
03,8,8,0,0,0,0,0,0,0,0,0,0
03,9,12,0,0,0,0,0,0,0,0,0,0
03,10,13,0,0,0,0,0,0,0,0,0,0
03,11,9,0,0,0,0,0,0,0,0,0,0
03,12,4,0,0,0,0,0,0,0,0,0,0
03,13,4,0,0,0,0,0,0,0,0,0,0
03,14,8,0,0,0,0,0,0,0,0,0,0
03,15,7,0,0,0,0,0,0,0,0,0,0
03,16,7,0,0,0,0,0,0,0,0,0,0
03,17,3,0,0,0,0,0,0,0,0,0,0
03,18,4,0,0,0,0,0,0,0,0,0,0
03,19,4,0,0,0,0,0,0,0,0,0,0
03,20,4,0,0,0,0,0,0,0,0,0,0
03,21,4,0,0,0,0,0,0,0,0,0,0
03,22,3,0,0,0,0,0,0,0,0,0,0
03,23,3,0,0,0,0,0,0,0,0,0,0
03,25,2,0,0,0,0,0,0,0,0,0,0
03,26,1,0,0,0,0,0,0,0,0,0,0
03,27,1,0,0,0,0,0,0,0,0,0,0
03,29,1,0,0,0,0,0,0,0,0,0,0
03,30,2,0,0,0,0,0,0,0,0,0,0
03,35,1,0,0,0,0,0,0,0,0,0,0
03,37,1,0,0,0,0,0,0,0,0,0,0
03,46,1,0,0,0,0,0,0,0,0,0,0
04,1,26,0,0,0,0,0,0,0,0,0,0
04,2,24,0,0,0,0,0,0,0,0,0,0
04,3,16,0,0,0,0,0,0,0,0,0,0
04,4,27,0,0,0,0,0,0,0,0,0,0
04,5,24,0,0,0,0,0,0,0,0,0,0
04,6,17,0,0,0,0,0,0,0,0,0,0
04,7,17,0,0,0,0,0,0,0,0,0,0
04,8,11,0,0,0,0,0,0,0,0,0,0
04,9,11,0,0,0,0,0,0,0,0,0,0
04,10,9,0,0,0,0,0,0,0,0,0,0
