mes_ano,Bola1,count_MMYY_bola1,Bola2,count_MMYY_bola2,Bola3,count_MMYY_bola3,Bola4,count_MMYY_bola4,Bola5,count_MMYY_bola5,Bola6,count_MMYY_bola6
01/1997,1,1,0,0,0,0,0,0,0,0,0,0
01/1997,3,1,0,0,0,0,0,0,0,0,0,0
01/1997,7,1,0,0,0,0,0,0,0,0,0,0
01/1997,14,1,0,0,0,0,0,0,0,0,0,0
01/1998,4,1,0,0,0,0,0,0,0,0,0,0
01/1998,5,1,0,0,0,0,0,0,0,0,0,0
01/1998,11,1,0,0,0,0,0,0,0,0,0,0
01/1998,13,1,0,0,0,0,0,0,0,0,0,0
01/1999,3,1,0,0,0,0,0,0,0,0,0,0
01/1999,5,1,0,0,0,0,0,0,0,0,0,0
01/1999,7,1,0,0,0,0,0,0,0,0,0,0
01/1999,12,1,0,0,0,0,0,0,0,0,0,0
01/2000,5,1,0,0,0,0,0,0,0,0,0,0
01/2000,11,1,0,0,0,0,0,0,0,0,0,0
01/2000,12,1,0,0,0,0,0,0,0,0,0,0
01/2000,29,1,0,0,0,0,0,0,0,0,0,0
01/2001,1,1,0,0,0,0,0,0,0,0,0,0
01/2001,2,1,0,0,0,0,0,0,0,0,0,0
01/2001,11,1,0,0,0,0,0,0,0,0,0,0
01/2001,16,1,0,0,0,0,0,0,0,0,0,0
01/2002,1,1,0,0,0,0,0,0,0,0,0,0
01/2002,2,1,0,0,0,0,0,0,0,0,0,0
01/2002,4,1,0,0,0,0,0,0,0,0,0,0
01/2002,5,1,0,0,0,0,0,0,0,0,0,0
01/2002,10,1,0,0,0,0,0,0,0,0,0,0
01/2002,21,1,0,0,0,0,0,0,0,0,0,0
01/2002,23,1,0,0,0,0,0,0,0,0,0,0
01/2002,29,1,0,0,0,0,0,0,0,0,0,0
01/2003,3,1,0,0,0,0,0,0,0,0,0,0
01/2003,4,1,0,0,0,0,0,0,0,0,0,0
01/2003,7,1,0,0,0,0,0,0,0,0,0,0
01/2003,8,2,0,0,0,0,0,0,0,0,0,0
01/2003,16,1,0,0,0,0,0,0,0,0,0,0
01/2003,17,1,0,0,0,0,0,0,0,0,0,0
01/2003,26,1,0,0,0,0,0,0,0,0,0,0
01/2004,1,3,0,0,0,0,0,0,0,0,0,0
01/2004,3,2,0,0,0,0,0,0,0,0,0,0
01/2004,4,1,0,0,0,0,0,0,0,0,0,0
01/2004,6,1,0,0,0,0,0,0,0,0,0,0
01/2004,8,1,0,0,0,0,0,0,0,0,0,0
01/2004,13,1,0,0,0,0,0,0,0,0,0,0
01/2005,1,1,0,0,0,0,0,0,0,0,0,0
01/2005,2,1,0,0,0,0,0,0,0,0,0,0
01/2005,5,1,0,0,0,0,0,0,0,0,0,0
01/2005,8,2,0,0,0,0,0,0,0,0,0,0
01/2005,10,1,0,0,0,0,0,0,0,0,0,0
01/2005,12,1,0,0,0,0,0,0,0,0,0,0
01/2005,15,1,0,0,0,0,0,0,0,0,0,0
01/2006,1,1,0,0,0,0,0,0,0,0,0,0
01/2006,2,2,0,0,0,0,0,0,0,0,0,0
01/2006,4,1,0,0,0,0,0,0,0,0,0,0
01/2006,5,1,0,0,0,0,0,0,0,0,0,0
01/2006,6,2,0,0,0,0,0,0,0,0,0,0
01/2006,8,1,0,0,0,0,0,0,0,0,0,0
01/2007,2,1,0,0,0,0,0,0,0,0,0,0
01/2007,3,1,0,0,0,0,0,0,0,0,0,0
01/2007,5,1,0,0,0,0,0,0,0,0,0,0
01/2007,9,1,0,0,0,0,0,0,0,0,0,0
01/2007,10,1,0,0,0,0,0,0,0,0,0,0
01/2007,13,1,0,0,0,0,0,0,0,0,0,0
01/2007,15,1,0,0,0,0,0,0,0,0,0,0
01/2007,17,1,0,0,0,0,0,0,0,0,0,0
01/2007,18,1,0,0,0,0,0,0,0,0,0,0
01/2008,1,1,0,0,0,0,0,0,0,0,0,0
01/2008,2,2,0,0,0,0,0,0,0,0,0,0
01/2008,5,1,0,0,0,0,0,0,0,0,0,0
01/2008,6,1,0,0,0,0,0,0,0,0,0,0
01/2008,7,1,0,0,0,0,0,0,0,0,0,0
01/2008,8,1,0,0,0,0,0,0,0,0,0,0
01/2008,15,1,0,0,0,0,0,0,0,0,0,0
01/2009,1,1,0,0,0,0,0,0,0,0,0,0
01/2009,2,1,0,0,0,0,0,0,0,0,0,0
