dezenas_combinadas,quantidade de vezes
1-10|11-20|21-30|31-40|41-50|51-60,60
1-10|11-20|31-40|31-40|41-50|51-60,39
11-20|21-30|31-40|31-40|41-50|51-60,36
1-10|1-10|21-30|31-40|41-50|51-60,34
1-10|1-10|11-20|21-30|31-40|51-60,33
1-10|11-20|21-30|41-50|41-50|51-60,31
11-20|21-30|21-30|31-40|41-50|51-60,31
1-10|11-20|21-30|21-30|31-40|51-60,30
11-20|21-30|31-40|41-50|41-50|51-60,30
1-10|11-20|21-30|31-40|41-50|41-50,30
1-10|11-20|31-40|41-50|51-60|51-60,30
1-10|21-30|31-40|41-50|51-60|51-60,29
1-10|21-30|31-40|41-50|41-50|51-60,29
1-10|11-20|21-30|31-40|31-40|51-60,28
1-10|1-10|11-20|21-30|31-40|41-50,27
1-10|11-20|11-20|21-30|31-40|41-50,26
1-10|11-20|21-30|41-50|51-60|51-60,26
1-10|11-20|11-20|21-30|41-50|51-60,26
1-10|11-20|21-30|31-40|31-40|41-50,26
1-10|11-20|21-30|31-40|51-60|51-60,26
1-10|11-20|31-40|41-50|41-50|51-60,26
1-10|21-30|31-40|31-40|41-50|51-60,26
1-10|11-20|21-30|21-30|31-40|41-50,25
1-10|21-30|21-30|31-40|41-50|51-60,25
1-10|11-20|11-20|31-40|41-50|51-60,25
1-10|1-10|11-20|31-40|41-50|51-60,24
11-20|21-30|31-40|41-50|51-60|51-60,23
1-10|11-20|11-20|21-30|31-40|51-60,21
1-10|1-10|11-20|21-30|41-50|51-60,21
1-10|11-20|21-30|21-30|51-60|51-60,20
1-10|11-20|21-30|21-30|41-50|51-60,19
1-10|1-10|21-30|31-40|51-60|51-60,19
11-20|11-20|21-30|31-40|41-50|51-60,19
1-10|1-10|31-40|41-50|51-60|51-60,19
1-10|11-20|11-20|21-30|31-40|31-40,18
1-10|21-30|31-40|31-40|41-50|41-50,18
1-10|1-10|11-20|21-30|21-30|51-60,17
1-10|1-10|11-20|31-40|31-40|41-50,17
1-10|1-10|1-10|21-30|41-50|51-60,16
1-10|11-20|11-20|31-40|41-50|41-50,16
1-10|1-10|11-20|31-40|51-60|51-60,16
1-10|1-10|11-20|31-40|31-40|51-60,16
1-10|21-30|31-40|31-40|51-60|51-60,16
1-10|1-10|11-20|11-20|31-40|41-50,16
1-10|11-20|11-20|31-40|31-40|51-60,16
11-20|11-20|31-40|41-50|51-60|51-60,15
1-10|1-10|11-20|21-30|31-40|31-40,15
21-30|31-40|31-40|41-50|41-50|51-60,15
1-10|31-40|31-40|41-50|51-60|51-60,15
1-10|1-10|21-30|31-40|31-40|51-60,15
1-10|1-10|21-30|41-50|51-60|51-60,15
1-10|11-20|11-20|11-20|31-40|51-60,15
1-10|21-30|31-40|31-40|31-40|51-60,15
1-10|1-10|21-30|31-40|41-50|41-50,14
1-10|21-30|21-30|31-40|41-50|41-50,14
11-20|11-20|21-30|31-40|51-60|51-60,14
1-10|21-30|21-30|31-40|51-60|51-60,14
1-10|11-20|21-30|31-40|31-40|31-40,14
21-30|21-30|31-40|41-50|41-50|51-60,14
1-10|21-30|21-30|31-40|31-40|51-60,13
1-10|11-20|11-20|31-40|51-60|51-60,13
11-20|11-20|31-40|41-50|41-50|51-60,13
1-10|11-20|21-30|21-30|41-50|41-50,13
1-10|21-30|21-30|41-50|51-60|51-60,13
11-20|31-40|31-40|31-40|41-50|51-60,13
1-10|1-10|31-40|41-50|41-50|51-60,13
1-10|31-40|41-50|41-50|51-60|51-60,13
1-10|11-20|41-50|41-50|51-60|51-60,13
11-20|21-30|21-30|41-50|51-60|51-60,13
1-10|11-20|11-20|41-50|41-50|51-60,13
1-10|11-20|11-20|31-40|31-40|41-50,13
21-30|31-40|41-50|41-50|51-60|51-60,13
11-20|21-30|31-40|31-40|51-60|51-60,12
11-20|31-40|31-40|41-50|51-60|51-60,12
1-10|1-10|31-40|31-40|41-50|51-60,12
11-20|11-20|11-20|31-40|41-50|51-60,12
1-10|11-20|11-20|21-30|21-30|51-60,12
11-20|11-20|21-30|31-40|41-50|41-50,12
11-20|21-30|21-30|31-40|41-50|41-50,12
11-20|11-20|11-20|21-30|31-40|41-50,12
1-10|11-20|31-40|41-50|41-50|41-50,12
1-10|21-30|41-50|41-50|51-60|51-60,12
21-30|31-40|31-40|41-50|51-60|51-60,12
1-10|11-20|11-20|21-30|41-50|41-50,12
1-10|11-20|41-50|51-60|51-60|51-60,12
1-10|1-10|11-20|31-40|41-50|41-50,12
1-10|11-20|11-20|21-30|21-30|41-50,12
1-10|1-10|11-20|41-50|51-60|51-60,11
11-20|11-20|21-30|41-50|41-50|51-60,11
1-10|11-20|31-40|31-40|41-50|41-50,11
1-10|21-30|31-40|31-40|31-40|41-50,11
21-30|21-30|31-40|41-50|51-60|51-60,11
11-20|21-30|21-30|31-40|31-40|41-50,11
1-10|31-40|41-50|41-50|41-50|51-60,11
1-10|1-10|11-20|21-30|21-30|41-50,11
1-10|11-20|11-20|41-50|51-60|51-60,11
11-20|21-30|31-40|31-40|41-50|41-50,11
1-10|21-30|21-30|31-40|31-40|41-50,11
1-10|11-20|11-20|21-30|21-30|31-40,11
1-10|1-10|21-30|31-40|31-40|41-50,11
11-20|11-20|21-30|31-40|31-40|41-50,11
1-10|11-20|21-30|21-30|31-40|31-40,11
11-20|11-20|21-30|21-30|31-40|41-50,11
11-20|21-30|21-30|31-40|31-40|51-60,11
1-10|1-10|11-20|21-30|41-50|41-50,11
1-10|1-10|11-20|11-20|21-30|51-60,11
1-10|31-40|31-40|41-50|41-50|51-60,10
1-10|21-30|41-50|51-60|51-60|51-60,10
1-10|11-20|11-20|11-20|21-30|31-40,10
1-10|1-10|11-20|11-20|51-60|51-60,10
21-30|31-40|41-50|51-60|51-60|51-60,10
1-10|1-10|11-20|21-30|51-60|51-60,10
11-20|31-40|41-50|51-60|51-60|51-60,10
1-10|1-10|11-20|11-20|21-30|31-40,10
1-10|1-10|1-10|31-40|41-50|51-60,10
11-20|21-30|41-50|41-50|51-60|51-60,10
1-10|1-10|31-40|31-40|41-50|41-50,10
1-10|1-10|11-20|11-20|41-50|41-50,10
1-10|1-10|21-30|21-30|31-40|41-50,10
1-10|1-10|1-10|11-20|21-30|31-40,10
1-10|1-10|21-30|41-50|41-50|51-60,10
11-20|11-20|21-30|31-40|31-40|51-60,10
11-20|11-20|21-30|21-30|31-40|51-60,10
1-10|21-30|21-30|41-50|41-50|51-60,10
1-10|1-10|21-30|21-30|41-50|51-60,10
21-30|21-30|31-40|31-40|41-50|51-60,9
11-20|11-20|11-20|21-30|41-50|51-60,9
1-10|11-20|21-30|51-60|51-60|51-60,9
11-20|21-30|21-30|31-40|51-60|51-60,9
1-10|11-20|21-30|21-30|21-30|41-50,9
1-10|1-10|1-10|11-20|21-30|51-60,9
1-10|1-10|11-20|41-50|41-50|51-60,9
11-20|11-20|31-40|31-40|41-50|51-60,9
1-10|1-10|11-20|11-20|41-50|51-60,9
1-10|1-10|11-20|11-20|31-40|51-60,9
11-20|11-20|21-30|21-30|41-50|51-60,9
1-10|11-20|11-20|11-20|21-30|41-50,8
11-20|21-30|21-30|21-30|31-40|51-60,8
1-10|11-20|41-50|41-50|41-50|51-60,8
11-20|21-30|21-30|21-30|41-50|51-60,8
1-10|21-30|21-30|21-30|31-40|51-60,8
1-10|11-20|11-20|31-40|31-40|31-40,8
11-20|21-30|41-50|51-60|51-60|51-60,8
11-20|11-20|21-30|41-50|51-60|51-60,8
1-10|11-20|31-40|31-40|31-40|41-50,8
1-10|31-40|31-40|31-40|41-50|51-60,8
1-10|1-10|21-30|21-30|41-50|41-50,8
1-10|11-20|31-40|51-60|51-60|51-60,8
1-10|21-30|21-30|21-30|41-50|51-60,8
1-10|11-20|31-40|31-40|51-60|51-60,8
1-10|11-20|11-20|11-20|31-40|41-50,8
11-20|21-30|21-30|41-50|41-50|51-60,7
1-10|11-20|11-20|21-30|51-60|51-60,7
21-30|31-40|31-40|31-40|41-50|51-60,7
21-30|21-30|31-40|31-40|41-50|41-50,7
1-10|1-10|41-50|41-50|51-60|51-60,7
1-10|1-10|11-20|21-30|21-30|31-40,7
21-30|21-30|21-30|31-40|41-50|51-60,7
21-30|21-30|21-30|31-40|31-40|41-50,7
1-10|1-10|1-10|11-20|21-30|41-50,7
1-10|1-10|1-10|11-20|41-50|51-60,7
1-10|1-10|1-10|11-20|31-40|41-50,7
11-20|11-20|41-50|41-50|51-60|51-60,7
11-20|21-30|21-30|21-30|31-40|41-50,7
11-20|11-20|21-30|21-30|31-40|31-40,7
11-20|31-40|41-50|41-50|51-60|51-60,6
21-30|41-50|41-50|51-60|51-60|51-60,6
11-20|21-30|21-30|21-30|41-50|41-50,6
1-10|11-20|21-30|21-30|21-30|31-40,6
1-10|21-30|31-40|41-50|41-50|41-50,6
1-10|1-10|11-20|11-20|21-30|41-50,6
1-10|11-20|11-20|11-20|21-30|51-60,6
11-20|11-20|31-40|51-60|51-60|51-60,6
1-10|21-30|41-50|41-50|41-50|51-60,6
11-20|31-40|31-40|41-50|41-50|51-60,6
1-10|11-20|21-30|21-30|21-30|51-60,6
11-20|11-20|11-20|21-30|31-40|51-60,6
11-20|11-20|31-40|31-40|31-40|51-60,6
11-20|11-20|11-20|31-40|41-50|41-50,6
11-20|11-20|21-30|21-30|41-50|41-50,6
1-10|1-10|11-20|21-30|21-30|21-30,6
1-10|31-40|41-50|51-60|51-60|51-60,6
11-20|31-40|41-50|41-50|41-50|51-60,6
11-20|21-30|31-40|31-40|31-40|41-50,5
