mes_ano,faixa_Bola1,count_faixa_bola1,faixa_Bola2,count_faixa_bola2,faixa_Bola3,count_faixa_bola3,faixa_Bola4,count_faixa_bola4,faixa_Bola5,count_faixa_bola5,faixa_Bola6,count_faixa_bola6
01/1997,1-10,3,,,,,,,,,,
01/1997,11-20,1,,,,,,,,,,
01/1998,1-10,2,,,,,,,,,,
01/1998,11-20,2,,,,,,,,,,
01/1999,1-10,3,,,,,,,,,,
01/1999,11-20,1,,,,,,,,,,
01/2000,1-10,1,,,,,,,,,,
01/2000,11-20,2,,,,,,,,,,
01/2000,21-30,1,,,,,,,,,,
01/2001,1-10,2,,,,,,,,,,
01/2001,11-20,2,,,,,,,,,,
01/2002,1-10,5,,,,,,,,,,
01/2002,21-30,3,,,,,,,,,,
01/2003,1-10,5,,,,,,,,,,
01/2003,11-20,2,,,,,,,,,,
01/2003,21-30,1,,,,,,,,,,
01/2004,1-10,8,,,,,,,,,,
01/2004,11-20,1,,,,,,,,,,
01/2005,1-10,6,,,,,,,,,,
01/2005,11-20,2,,,,,,,,,,
01/2006,1-10,8,,,,,,,,,,
01/2007,1-10,5,,,,,,,,,,
01/2007,11-20,4,,,,,,,,,,
01/2008,1-10,7,,,,,,,,,,
01/2008,11-20,1,,,,,,,,,,
01/2009,1-10,7,,,,,,,,,,
01/2009,11-20,2,,,,,,,,,,
01/2010,1-10,8,,,,,,,,,,
01/2010,21-30,1,,,,,,,,,,
01/2011,1-10,7,,,,,,,,,,
01/2011,11-20,1,,,,,,,,,,
01/2012,1-10,6,,,,,,,,,,
01/2012,11-20,2,,,,,,,,,,
01/2013,1-10,6,,,,,,,,,,
01/2013,11-20,2,,,,,,,,,,
01/2013,31-40,1,,,,,,,,,,
01/2014,1-10,5,,,,,,,,,,
01/2014,11-20,2,,,,,,,,,,
01/2014,21-30,2,,,,,,,,,,
01/2015,1-10,6,,,,,,,,,,
01/2015,21-30,3,,,,,,,,,,
01/2016,1-10,9,,,,,,,,,,
01/2016,11-20,1,,,,,,,,,,
01/2017,1-10,5,,,,,,,,,,
01/2017,11-20,2,,,,,,,,,,
01/2017,21-30,1,,,,,,,,,,
01/2018,1-10,5,,,,,,,,,,
01/2018,11-20,2,,,,,,,,,,
01/2018,21-30,2,,,,,,,,,,
01/2019,1-10,4,,,,,,,,,,
01/2019,11-20,6,,,,,,,,,,
01/2020,1-10,7,,,,,,,,,,
01/2020,11-20,2,,,,,,,,,,
01/2021,1-10,7,,,,,,,,,,
01/2021,11-20,3,,,,,,,,,,
01/2022,1-10,4,,,,,,,,,,
01/2022,11-20,5,,,,,,,,,,
01/2023,1-10,7,,,,,,,,,,
01/2023,11-20,2,,,,,,,,,,
